project,commit,coveredClass,outerClass,coveredClassPath,dstar,ochiai,tarantula,barinel,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc,uniq_changes,developers,age,isSusFlaky
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.regionserver.snapshot$FlushSnapshotSubprocedure$RegionSnapshotTask,org.apache.hadoop.hbase.regionserver.snapshot$FlushSnapshotSubprocedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/snapshot/FlushSnapshotSubprocedure.java,1.3888888888888888,0.4662524041201569,0.9626556016597512,6.215382992148072e-10,0,0,0,0,2,0,138,1,6,15,9,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$SnapshotDescription,org.apache.hadoop.hbase.client$SnapshotDescription,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/SnapshotDescription.java,1.3333333333333333,0.6324555320336759,1.0,1.0,0,0,0,0,0,0,110,0,0,4,3,4112459.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.errorhandling$ForeignException,org.apache.hadoop.hbase.errorhandling$ForeignException,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/errorhandling/ForeignException.java,1.3333333333333333,0.6324555320336759,1.0,1.0,0,0,0,0,0,0,148,2,6,10,6,4112459.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2$ManifestBuilder,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifestV2.java,1.0869565217391304,0.4225771273642583,0.9527720739219712,6.38318175116699e-11,0,0,1,0,0,0,132,0,6,11,9,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2$1,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifestV2.java,1.0869565217391304,0.4225771273642583,0.9527720739219712,6.38318175116699e-11,0,0,1,0,0,0,132,0,6,11,9,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2$2,org.apache.hadoop.hbase.snapshot$SnapshotManifestV2,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifestV2.java,1.0869565217391304,0.4225771273642583,0.9527720739219712,6.38318175116699e-11,0,0,1,0,0,0,132,0,6,11,9,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.snapshot$TakeSnapshotHandler,org.apache.hadoop.hbase.master.snapshot$TakeSnapshotHandler,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/TakeSnapshotHandler.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,0,0,0,0,254,1,8,32,13,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master$MetricsSnapshot,org.apache.hadoop.hbase.master$MetricsSnapshot,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MetricsSnapshot.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,0,0,0,0,31,0,0,1,1,118817205.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotManifest,org.apache.hadoop.hbase.snapshot$SnapshotManifest,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifest.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,0,0,0,0,490,0,30,23,15,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.snapshot$MasterSnapshotVerifier,org.apache.hadoop.hbase.master.snapshot$MasterSnapshotVerifier,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/MasterSnapshotVerifier.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,0,0,0,0,148,0,12,35,13,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.locking$LockProcedure$TableExclusiveLock,org.apache.hadoop.hbase.master.locking$LockProcedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockProcedure.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,0,0,0,0,435,1,32,6,3,8398813.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.util$FSUtils$RegionDirFilter,org.apache.hadoop.hbase.util$FSUtils,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSUtils.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,3,0,6,1,4,2,2289,0,141,182,28,1140310.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotReferenceUtil$2,org.apache.hadoop.hbase.snapshot$SnapshotReferenceUtil,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotReferenceUtil.java,1.0416666666666667,0.4152273992686998,0.9508196721311476,4.263928585719631e-11,0,0,3,0,0,0,309,0,17,19,10,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotDescriptionUtils$CompletedSnaphotDirectoriesFilter,org.apache.hadoop.hbase.snapshot$SnapshotDescriptionUtils,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotDescriptionUtils.java,0.925925925925926,0.3952847075210474,0.9450101832993892,1.3797249054723691e-11,0,0,0,2,0,0,318,0,8,30,16,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.io$FileLink,org.apache.hadoop.hbase.io$FileLink,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/FileLink.java,0.8620689655172413,0.3834824944236852,0.9411764705882352,6.903277077785343e-12,0,0,0,0,0,0,415,0,22,17,12,2980640.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.io$HFileLink,org.apache.hadoop.hbase.io$HFileLink,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/HFileLink.java,0.8620689655172413,0.3834824944236852,0.9411764705882352,6.903277077785343e-12,0,0,0,0,0,0,470,1,9,25,13,274364.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$RestoreSnapshotHelper,org.apache.hadoop.hbase.snapshot$RestoreSnapshotHelper,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/RestoreSnapshotHelper.java,0.8181818181818182,0.3872983346207417,0.9686847599164928,1.7901584214996553e-08,0,0,4,1,0,0,741,0,52,42,15,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$HBaseAdmin$64,org.apache.hadoop.hbase.client$HBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0.7619047619047619,0.3651483716701107,0.948875255623722,7.189709197802528e-11,0,0,8,10,5,0,4029,0,186,386,58,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.procedure$Procedure,org.apache.hadoop.hbase.procedure$Procedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/Procedure.java,0.6578947368421053,0.3409971697352367,0.9243027888446216,4.791730627700081e-13,0,0,0,0,2,0,341,0,8,18,8,10051963.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.errorhandling$TimeoutExceptionInjector,org.apache.hadoop.hbase.errorhandling$TimeoutExceptionInjector,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/errorhandling/TimeoutExceptionInjector.java,0.6578947368421053,0.3409971697352367,0.9243027888446216,4.791730627700081e-13,0,0,0,0,0,0,93,0,5,8,3,82508405.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.procedure$Subprocedure,org.apache.hadoop.hbase.procedure$Subprocedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/Subprocedure.java,0.6578947368421053,0.3409971697352367,0.9243027888446216,4.791730627700081e-13,0,0,1,0,2,0,288,0,5,13,6,64042316.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.errorhandling$ForeignExceptionDispatcher,org.apache.hadoop.hbase.errorhandling$ForeignExceptionDispatcher,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/errorhandling/ForeignExceptionDispatcher.java,0.5681818181818182,0.3194382824999699,0.9133858267716536,1.0959819747742553e-13,0,0,0,0,0,0,74,0,4,8,5,10051963.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$HBaseAdmin$2,org.apache.hadoop.hbase.client$HBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0.5681818181818182,0.3194382824999699,0.9133858267716536,1.0959819747742553e-13,0,0,8,10,5,0,4029,0,186,386,58,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.procedure$CloneSnapshotProcedure$1,org.apache.hadoop.hbase.master.procedure$CloneSnapshotProcedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/CloneSnapshotProcedure.java,0.5,0.3380617018914066,0.9737670514165792,1.9258006712938645e-07,0,0,1,1,0,0,412,3,18,14,10,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$HBaseAdmin,org.apache.hadoop.hbase.client$HBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0.3846153846153846,0.2672612419124244,0.8771266540642723,1.9979618364157425e-15,0,0,8,10,5,0,4029,0,186,386,58,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.regionserver$HRegion$PrepareFlushResult,org.apache.hadoop.hbase.regionserver$HRegion,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,0.3809523809523809,0.2666666666666666,0.9005337214944202,6.02209099910478e-14,0,0,5,5,8,0,7966,0,653,984,67,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase$DaemonThreadFactory,org.apache.hadoop.hbase$DaemonThreadFactory,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/DaemonThreadFactory.java,0.3623188405797101,0.2599376224550181,0.8705440900562851,1.0732965418949677e-15,0,0,0,0,3,0,23,0,2,2,2,81850609.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$RetryingCallerInterceptorFactory,org.apache.hadoop.hbase.client$RetryingCallerInterceptorFactory,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RetryingCallerInterceptorFactory.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,0,0,0,0,0,0,45,0,1,6,2,42539120.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$ConnectionImplementation,org.apache.hadoop.hbase.client$ConnectionImplementation,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionImplementation.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,1,0,0,0,1,0,1899,0,107,79,33,273268.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$ConnectionImplementation$MasterServiceState,org.apache.hadoop.hbase.client$ConnectionImplementation,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionImplementation.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,1,0,0,0,1,0,1899,0,107,79,33,273268.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client.backoff$ClientBackoffPolicyFactory$NoBackoffPolicy,org.apache.hadoop.hbase.client.backoff$ClientBackoffPolicyFactory,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/backoff/ClientBackoffPolicyFactory.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,0,0,0,0,0,0,29,0,0,1,1,80883413.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$MetaCache,org.apache.hadoop.hbase.client$MetaCache,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/MetaCache.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,0,0,0,0,0,0,357,0,51,19,9,14855932.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$ZooKeeperRegistry,org.apache.hadoop.hbase.client$ZooKeeperRegistry,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ZooKeeperRegistry.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,0,0,0,0,2,0,91,0,11,18,11,19715115.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$ZooKeeperKeepAliveConnection,org.apache.hadoop.hbase.client$ZooKeeperKeepAliveConnection,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ZooKeeperKeepAliveConnection.java,0.3472222222222222,0.2548235957188128,0.8656716417910448,6.884614091414771e-16,0,0,0,0,0,0,17,1,1,9,5,31211861.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncTableBuilderBase,org.apache.hadoop.hbase.client$AsyncTableBuilderBase,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncTableBuilderBase.java,0.3378378378378378,0.2515773027133138,0.862453531598513,5.17028577226103e-16,0,0,0,0,0,0,80,0,0,1,1,10803346.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$RawAsyncTableImpl,org.apache.hadoop.hbase.client$RawAsyncTableImpl,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RawAsyncTableImpl.java,0.3378378378378378,0.2515773027133138,0.862453531598513,5.17028577226103e-16,0,0,3,0,0,0,459,0,14,10,2,8112182.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$RestoreSnapshotHelper$RestoreMetaChanges,org.apache.hadoop.hbase.snapshot$RestoreSnapshotHelper,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/RestoreSnapshotHelper.java,0.3333333333333333,0.2696799449852968,0.9537512846865364,1.1793937829037612e-09,0,0,4,1,0,0,741,0,52,42,15,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.procedure$ZKProcedureMemberRpcs$1,org.apache.hadoop.hbase.procedure$ZKProcedureMemberRpcs,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/ZKProcedureMemberRpcs.java,0.3333333333333333,0.25,0.8608534322820038,4.492891395893317e-16,0,0,0,0,4,0,309,0,19,22,14,2164137.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncRpcRetryingCallerFactory$BuilderBase,org.apache.hadoop.hbase.client$AsyncRpcRetryingCallerFactory,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCallerFactory.java,0.3333333333333333,0.25,0.8608534322820038,4.492891395893317e-16,0,0,0,0,0,0,398,0,0,18,4,5420296.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncRpcRetryingCaller,org.apache.hadoop.hbase.client$AsyncRpcRetryingCaller,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java,0.3333333333333333,0.25,0.8608534322820038,4.492891395893317e-16,0,0,0,0,0,0,112,0,7,2,1,6394703.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.procedure$ZKProcedureCoordinator$1,org.apache.hadoop.hbase.procedure$ZKProcedureCoordinator,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/ZKProcedureCoordinator.java,0.3289473684210526,0.2484519974999766,0.8592592592592593,3.911167528009021e-16,0,0,3,0,2,0,290,0,17,1,12,5590010.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$RpcRetryingCallable,org.apache.hadoop.hbase.client$RpcRetryingCallable,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RpcRetryingCallable.java,0.3164556962025316,0.2439750182371333,0.8545119705340699,2.606600739132361e-16,0,0,0,0,0,0,35,0,0,4,1,19865617.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master$HMaster$14,org.apache.hadoop.hbase.master$HMaster,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java,0.3076923076923077,0.2581988897471611,0.948875255623722,4.4516784306498176e-10,0,0,15,2,9,4,3139,2,226,811,68,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.regionserver$HStore$2,org.apache.hadoop.hbase.regionserver$HStore,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,0.2873563218390804,0.2331262020600784,0.8421052631578947,9.454486491208068e-17,0,0,2,4,1,0,2433,0,158,210,43,831962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin$ProcedureBiConsumer,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,0.25,0.4472135954999579,1.0,1.0,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin$TableProcedureBiConsumer,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,0.25,0.4472135954999579,1.0,1.0,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin$DisableTableProcedureBiConsumer,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,0.25,0.4472135954999579,1.0,1.0,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin$EnableTableProcedureBiConsumer,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,0.25,0.4472135954999579,1.0,1.0,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$HBaseAdmin$7,org.apache.hadoop.hbase.client$HBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,0,0,8,10,5,0,4029,0,186,386,58,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master$HMaster$5,org.apache.hadoop.hbase.master$HMaster,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,0,0,15,2,9,4,3139,2,226,811,68,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$HBaseAdmin$DeleteTableFuture,org.apache.hadoop.hbase.client$HBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,0,0,8,10,5,0,4029,0,186,386,58,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.procedure$ProcedureSyncWait$3,org.apache.hadoop.hbase.master.procedure$ProcedureSyncWait,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ProcedureSyncWait.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,0,0,6,2,1,0,133,0,10,7,4,19865617.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.util$FSUtils$DirFilter,org.apache.hadoop.hbase.util$FSUtils,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSUtils.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,3,0,6,1,4,2,2289,0,141,182,28,1140310.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.backup$HFileArchiver$2,org.apache.hadoop.hbase.backup$HFileArchiver,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/backup/HFileArchiver.java,0.2475247524752475,0.2171861213815347,0.8212389380530973,1.9537630419812682e-17,0,0,0,3,0,0,635,0,40,26,10,5468501.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.backup$HFileArchiver$FileStatusConverter,org.apache.hadoop.hbase.backup$HFileArchiver,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/backup/HFileArchiver.java,0.2450980392156862,0.2161688505835584,0.8197879858657243,1.760032506486557e-17,0,0,0,3,0,0,635,0,40,26,10,5468501.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.backup$HFileArchiver$FileablePath,org.apache.hadoop.hbase.backup$HFileArchiver,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/backup/HFileArchiver.java,0.2450980392156862,0.2161688505835584,0.8197879858657243,1.760032506486557e-17,0,0,0,3,0,0,635,0,40,26,10,5468501.0,0.0
